#1_usercol	2_usercol	3_usercol	4_pct_at	5_pct_gc	6_num_A	7_num_C	8_num_G	9_num_T	10_num_N	11_num_oth	12_seq_len
Chr1	13500000	14000000	0.518726	0.481274	129498	120331	120306	129865	0	0	500000
Chr1	14000000	14500000	0.511722	0.486278	127556	121195	121944	128305	1000	0	500000
Chr1	14500000	15000000	0.510750	0.489250	126464	124045	120580	128911	0	0	500000
Chr1	15000000	15500000	0.518618	0.480382	131698	120388	119803	127611	500	0	500000
Chr1	15500000	16000000	0.513034	0.485966	131458	121663	121320	125059	500	0	500000
Chr1	16000000	16500000	0.512530	0.487470	127025	123984	119751	129240	0	0	500000
Chr1	16500000	17000000	0.543438	0.456562	134157	115973	112308	137562	0	0	500000
Chr1	17000000	17500000	0.543518	0.455482	135305	113239	114502	136454	500	0	500000
Chr1	17500000	18000000	0.525252	0.474748	131911	118006	119368	130715	0	0	500000
Chr1	18000000	18500000	0.540622	0.459378	137676	115333	114356	132635	0	0	500000
Chr1	18500000	19000000	0.519538	0.479462	128499	119242	120489	131270	500	0	500000
Chr1	19000000	19500000	0.523486	0.476514	131378	119354	118903	130365	0	0	500000
Chr1	19500000	20000000	0.516392	0.483608	128851	121721	120083	129345	0	0	500000
Chr1	20000000	20500000	0.519174	0.480826	129040	119298	121115	130547	0	0	500000
Chr1	20500000	21000000	0.508762	0.490238	128097	123198	121921	126284	500	0	500000
Chr1	21000000	21500000	0.516812	0.483188	133315	119568	122026	125091	0	0	500000
Chr1	21500000	22000000	0.533542	0.465458	131227	116291	116438	135544	500	0	500000
Chr1	22000000	22500000	0.537804	0.461196	136370	115957	114641	132532	500	0	500000
Chr1	22500000	23000000	0.536016	0.463984	134237	115110	116882	133771	0	0	500000
Chr1	23000000	23500000	0.522572	0.476428	127368	119450	118764	133918	500	0	500000
Chr1	23500000	24000000	0.523578	0.474422	132789	118082	119129	129000	1000	0	500000
Chr1	24000000	24500000	0.532574	0.467426	133676	116277	117436	132611	0	0	500000
Chr1	24500000	25000000	0.514302	0.485698	127449	120679	122170	129702	0	0	500000
Chr1	25000000	25500000	0.519480	0.480520	130102	119504	120756	129638	0	0	500000
Chr1	25500000	26000000	0.521000	0.478000	129602	119590	119410	130898	500	0	500000
Chr1	26000000	26500000	0.516926	0.482074	130142	120423	120614	128321	500	0	500000
Chr1	26500000	27000000	0.550940	0.448060	140619	114925	109105	134851	500	0	500000
Chr1	27000000	27500000	0.530136	0.469864	132041	117285	117647	133027	0	0	500000
Chr1	27500000	28000000	0.547492	0.451508	137595	112436	113318	136151	500	0	500000
Chr1	28000000	28500000	0.543070	0.456930	134478	113104	115361	137057	0	0	500000
Chr1	28500000	29000000	0.532782	0.465218	131273	116154	116455	135118	1000	0	500000
Chr1	29000000	29500000	0.538914	0.461086	134192	114992	115551	135265	0	0	500000
Chr1	29500000	30000000	0.545652	0.454348	133223	111506	115668	139603	0	0	500000
Chr1	30000000	30500000	0.532460	0.467540	131056	116070	117700	135174	0	0	500000
Chr1	30500000	31000000	0.538084	0.461916	135288	115908	115050	133754	0	0	500000
Chr1	31000000	31500000	0.532822	0.467178	136383	117588	116001	130028	0	0	500000
Chr1	31500000	32000000	0.528336	0.471664	133443	119088	116744	130725	0	0	500000
Chr1	32000000	32500000	0.535234	0.464766	134186	115911	116472	133431	0	0	500000
Chr1	32500000	33000000	0.532366	0.467634	133901	116909	116908	132282	0	0	500000
Chr1	33000000	33500000	0.527242	0.472758	133151	119537	116842	130470	0	0	500000
Chr1	33500000	34000000	0.542070	0.457930	136455	114732	114233	134580	0	0	500000
Chr1	34000000	34500000	0.549448	0.449552	137352	111833	112943	137372	500	0	500000
Chr1	34500000	35000000	0.564324	0.435676	145468	109960	107878	136694	0	0	500000
Chr1	35000000	35500000	0.551784	0.448216	136475	112121	111987	139417	0	0	500000
Chr1	35500000	36000000	0.564010	0.434990	139256	108455	109040	142749	500	0	500000
Chr1	36000000	36500000	0.561868	0.438132	140518	108992	110074	140416	0	0	500000
Chr1	36500000	37000000	0.554550	0.445450	137701	112410	110315	139574	0	0	500000
Chr1	37000000	37500000	0.541836	0.458164	137343	115647	113435	133575	0	0	500000
Chr1	37500000	38000000	0.548096	0.451904	137311	113982	111970	136737	0	0	500000
Chr1	38000000	38500000	0.536122	0.461878	131462	115392	115547	136599	1000	0	500000
Chr1	38500000	39000000	0.546684	0.453316	134610	112274	114384	138732	0	0	500000
Chr1	39000000	39500000	0.541584	0.457416	133175	113401	115307	137617	500	0	500000
Chr1	39500000	40000000	0.549232	0.450768	134956	112147	113237	139660	0	0	500000
Chr1	40000000	40500000	0.556516	0.442484	139679	110521	110721	138579	500	0	500000
Chr1	40500000	41000000	0.542356	0.457644	136805	114551	114271	134373	0	0	500000
Chr1	41000000	41500000	0.557136	0.441864	139052	110954	109978	139516	500	0	500000
Chr1	41500000	42000000	0.562396	0.436604	139829	109815	108487	141369	500	0	500000
Chr1	42000000	42500000	0.551046	0.448954	136421	110953	113524	139102	0	0	500000
Chr1	42500000	43000000	0.550928	0.449072	138188	112036	112500	137276	0	0	500000
Chr1	43000000	43500000	0.548956	0.451044	139059	113077	112445	135419	0	0	500000
Chr1	43500000	44000000	0.567744	0.431256	138105	107038	108590	145767	500	0	500000
Chr1	44000000	44500000	0.548892	0.451108	136595	113628	111926	137851	0	0	500000
Chr1	44500000	45000000	0.563846	0.436154	141562	109185	108892	140361	0	0	500000
Chr1	45000000	45500000	0.556826	0.443174	140434	110301	111286	137979	0	0	500000
Chr1	45500000	46000000	0.552378	0.447622	139342	112204	111607	136847	0	0	500000
Chr1	46000000	46500000	0.551674	0.446326	139067	112535	110628	136770	1000	0	500000
Chr1	46500000	47000000	0.564288	0.435712	140193	108086	109770	141951	0	0	500000
Chr1	47000000	47500000	0.560360	0.439640	140097	109283	110537	140083	0	0	500000
Chr1	47500000	48000000	0.547308	0.452692	141144	111967	114379	132510	0	0	500000
Chr1	48000000	48500000	0.551226	0.448774	139298	114736	109651	136315	0	0	500000
Chr1	48500000	49000000	0.563526	0.436474	138852	109268	108969	142911	0	0	500000
Chr1	49000000	49500000	0.549888	0.450112	135891	110097	114959	139053	0	0	500000
Chr1	49500000	50000000	0.557298	0.442702	138155	109638	111713	140494	0	0	500000
Chr1	50000000	50500000	0.546680	0.453320	137268	112833	113827	136072	0	0	500000
Chr1	50500000	51000000	0.548230	0.449770	138790	113214	111671	135325	1000	0	500000
Chr1	51000000	51500000	0.549050	0.450950	136164	113648	111827	138361	0	0	500000
Chr1	51500000	52000000	0.544542	0.453458	135683	112770	113959	136588	1000	0	500000
Chr1	52000000	52500000	0.553210	0.446790	139674	110907	112488	136931	0	0	500000
Chr1	52500000	53000000	0.551664	0.447336	138910	113031	110637	136922	500	0	500000
Chr1	53000000	53500000	0.551802	0.447198	140533	112863	110736	135368	500	0	500000
Chr1	53500000	54000000	0.559106	0.439894	139556	107973	111974	139997	500	0	500000
Chr1	54000000	54500000	0.567288	0.432712	140052	106937	109419	143592	0	0	500000
Chr1	54500000	55000000	0.569524	0.430476	138576	107533	107705	146186	0	0	500000
Chr1	55000000	55500000	0.558386	0.441614	139343	109659	111148	139850	0	0	500000
Chr1	55500000	56000000	0.568214	0.430786	142623	108620	106773	141484	500	0	500000
Chr1	56000000	56500000	0.558852	0.441148	139589	110915	109659	139837	0	0	500000
Chr1	56500000	57000000	0.559578	0.440422	140187	110067	110144	139602	0	0	500000
Chr1	57000000	57500000	0.556072	0.442928	138794	110535	110929	139242	500	0	500000
Chr1	57500000	58000000	0.560712	0.439288	141262	108876	110768	139094	0	0	500000
Chr1	58000000	58500000	0.559998	0.440002	138024	110854	109147	141975	0	0	500000
Chr1	58500000	59000000	0.566620	0.433380	138636	107145	109545	144674	0	0	500000
Chr1	59000000	59500000	0.564080	0.434920	139489	107498	109962	142551	500	0	500000
Chr1	59500000	60000000	0.556850	0.442150	136587	110300	110775	141838	500	0	500000
Chr1	60000000	60500000	0.560300	0.439700	143034	109674	110176	137116	0	0	500000
Chr1	60500000	61000000	0.570516	0.429484	144637	108662	106080	140621	0	0	500000
Chr1	61000000	61500000	0.557960	0.442040	142769	109370	111650	136211	0	0	500000
Chr1	61500000	62000000	0.568192	0.431808	144022	108062	107842	140074	0	0	500000
Chr1	62000000	62500000	0.563262	0.436738	141574	109236	109133	140057	0	0	500000
Chr1	62500000	63000000	0.553426	0.446574	139644	113764	109523	137069	0	0	500000
Chr1	63000000	63500000	0.560748	0.438252	140616	110220	108906	139758	500	0	500000
Chr1	63500000	64000000	0.565418	0.434582	138117	109699	107592	144592	0	0	500000
Chr1	64000000	64500000	0.550390	0.449610	136370	113283	111522	138825	0	0	500000
Chr1	64500000	65000000	0.553884	0.445116	137176	111716	110842	139766	500	0	500000
Chr1	65000000	65500000	0.555896	0.442104	138954	109504	111548	138994	1000	0	500000
Chr1	65500000	66000000	0.560022	0.439978	142252	110084	109905	137759	0	0	500000
Chr1	66000000	66500000	0.564928	0.435072	142543	110505	107031	139921	0	0	500000
Chr1	66500000	67000000	0.561512	0.438488	140959	111504	107740	139797	0	0	500000
Chr1	67000000	67500000	0.565856	0.432144	141504	105645	110427	141424	1000	0	500000
Chr1	67500000	68000000	0.560456	0.439544	141261	110456	109316	138967	0	0	500000
Chr1	68000000	68500000	0.550554	0.449446	137382	113514	111209	137895	0	0	500000
Chr1	68500000	69000000	0.560992	0.438008	141555	109596	109408	138941	500	0	500000
Chr1	69000000	69500000	0.554842	0.445158	135995	112023	110556	141426	0	0	500000
Chr1	69500000	70000000	0.565158	0.433842	141610	108531	108390	140969	500	0	500000
Chr1	70000000	70500000	0.549022	0.448978	137445	110924	113565	137066	1000	0	500000
Chr1	70500000	71000000	0.556460	0.443540	138837	110967	110803	139393	0	0	500000
Chr1	71000000	71500000	0.564664	0.433336	140535	108721	107947	141797	1000	0	500000
Chr1	71500000	72000000	0.556598	0.441402	140102	110262	110439	138197	1000	0	500000
Chr1	72000000	72500000	0.558984	0.441016	140595	110082	110426	138897	0	0	500000
Chr1	72500000	73000000	0.562830	0.437170	141093	109407	109178	140322	0	0	500000
Chr1	73000000	73500000	0.545658	0.454342	135201	114474	112697	137628	0	0	500000
Chr1	73500000	74000000	0.559748	0.440252	139466	111453	108673	140408	0	0	500000
Chr1	74000000	74500000	0.570630	0.429370	141180	106981	107704	144135	0	0	500000
Chr1	74500000	75000000	0.557248	0.440752	141069	109200	111176	137555	1000	0	500000
Chr1	75000000	75500000	0.558524	0.441476	138800	111147	109591	140462	0	0	500000
Chr1	75500000	76000000	0.570078	0.429922	141156	108097	106864	143883	0	0	500000
Chr1	76000000	76500000	0.553434	0.446566	138472	110285	112998	138245	0	0	500000
Chr1	76500000	77000000	0.559088	0.440912	139045	111540	108916	140499	0	0	500000
Chr1	77000000	77500000	0.564158	0.435842	139386	108037	109884	142693	0	0	500000
Chr1	77500000	78000000	0.554184	0.444816	136576	111733	110675	140516	500	0	500000
Chr1	78000000	78500000	0.567946	0.432054	140134	110370	105657	143839	0	0	500000
Chr1	78500000	79000000	0.563218	0.436782	139881	107388	111003	141728	0	0	500000
Chr1	79000000	79500000	0.555618	0.443382	139109	110486	111205	138700	500	0	500000
Chr1	79500000	80000000	0.563324	0.436676	141505	109553	108785	140157	0	0	500000
Chr1	80000000	80500000	0.564016	0.435984	141300	107511	110481	140708	0	0	500000
Chr1	80500000	81000000	0.555622	0.444378	139526	112305	109884	138285	0	0	500000
Chr1	81000000	81500000	0.561042	0.438958	140739	110069	109410	139782	0	0	500000
Chr1	81500000	82000000	0.557344	0.442656	139172	112182	109146	139500	0	0	500000
Chr1	82000000	82500000	0.571368	0.428632	143099	107090	107226	142585	0	0	500000
Chr1	82500000	83000000	0.562814	0.437186	140280	109042	109551	141127	0	0	500000
Chr1	83000000	83500000	0.559290	0.438710	139238	109968	109387	140407	1000	0	500000
Chr1	83500000	84000000	0.554244	0.445756	138062	111097	111781	139060	0	0	500000
Chr1	84000000	84500000	0.553750	0.445250	141180	110948	111677	135695	500	0	500000
Chr1	84500000	85000000	0.568998	0.431002	145968	108161	107340	138531	0	0	500000
Chr1	85000000	85500000	0.556582	0.443418	139215	112264	109445	139076	0	0	500000
Chr1	85500000	86000000	0.560036	0.437964	142457	108567	110415	137561	1000	0	500000
Chr1	86000000	86500000	0.556570	0.442430	139408	111274	109941	138877	500	0	500000
Chr1	86500000	87000000	0.553950	0.446050	137163	111291	111734	139812	0	0	500000
Chr1	87000000	87500000	0.556088	0.443912	139940	110746	111210	138104	0	0	500000
Chr1	87500000	88000000	0.561968	0.438032	138575	109367	109649	142409	0	0	500000
Chr1	88000000	88500000	0.557704	0.442296	138782	109787	111361	140070	0	0	500000
Chr1	88500000	89000000	0.561860	0.437140	138872	109986	108584	142058	500	0	500000
Chr1	89000000	89500000	0.566024	0.433976	144003	111179	105809	139009	0	0	500000
Chr1	89500000	90000000	0.562284	0.437716	139295	108465	110393	141847	0	0	500000
Chr1	90000000	90500000	0.568514	0.430486	146197	107789	107454	138060	500	0	500000
Chr1	90500000	91000000	0.555322	0.444678	140644	110310	112029	137017	0	0	500000
Chr1	91000000	91500000	0.567378	0.432622	141881	107028	109283	141808	0	0	500000
Chr1	91500000	92000000	0.563354	0.435646	139406	109644	108179	142271	500	0	500000
Chr1	92000000	92500000	0.563418	0.436582	141414	110143	108148	140295	0	0	500000
Chr1	92500000	93000000	0.553920	0.446080	138898	111500	111540	138062	0	0	500000
Chr1	93000000	93500000	0.572618	0.427382	144894	107964	105727	141415	0	0	500000
Chr1	93500000	94000000	0.558240	0.441760	141664	108594	112286	137456	0	0	500000
Chr1	94000000	94500000	0.563504	0.435496	141006	108111	109637	140746	500	0	500000
Chr1	94500000	95000000	0.559340	0.440660	140221	110687	109643	139449	0	0	500000
Chr1	95000000	95500000	0.570790	0.429210	139986	107882	106723	145409	0	0	500000
Chr1	95500000	96000000	0.563360	0.436640	140152	109272	109048	141528	0	0	500000
Chr1	96000000	96500000	0.565000	0.435000	139855	108811	108689	142645	0	0	500000
Chr1	96500000	97000000	0.564482	0.435518	140189	107569	110190	142052	0	0	500000
Chr1	97000000	97500000	0.559044	0.439956	137953	110807	109171	141569	500	0	500000
Chr1	97500000	98000000	0.547506	0.452494	137899	113769	112478	135854	0	0	500000
Chr1	98000000	98500000	0.558044	0.440956	141543	110582	109896	137479	500	0	500000
Chr1	98500000	99000000	0.562866	0.436134	142334	109447	108620	139099	500	0	500000
Chr1	99000000	99500000	0.554256	0.445744	140095	111555	111317	137033	0	0	500000
Chr1	99500000	100000000	0.561550	0.438450	143838	110345	108880	136937	0	0	500000
Chr1	100000000	100500000	0.563024	0.436976	140727	109585	108903	140785	0	0	500000
Chr1	100500000	101000000	0.557456	0.442544	136526	110575	110697	142202	0	0	500000
Chr1	101000000	101500000	0.559522	0.439478	138467	110058	109681	141294	500	0	500000
Chr1	101500000	102000000	0.559226	0.440774	139225	111833	108554	140388	0	0	500000
Chr1	102000000	102500000	0.559492	0.439508	139333	110510	109244	140413	500	0	500000
Chr1	102500000	103000000	0.554206	0.445794	139064	111192	111705	138039	0	0	500000
Chr1	103000000	103500000	0.558878	0.441122	141177	110393	110168	138262	0	0	500000
Chr1	103500000	104000000	0.552454	0.447546	137416	113602	110171	138811	0	0	500000
Chr1	104000000	104500000	0.554666	0.445334	136177	112818	109849	141156	0	0	500000
Chr1	104500000	105000000	0.555660	0.444340	140065	111710	110460	137765	0	0	500000
Chr1	105000000	105500000	0.554208	0.445792	139874	112583	110313	137230	0	0	500000
Chr1	105500000	106000000	0.548598	0.451402	138180	111331	114370	136119	0	0	500000
Chr1	106000000	106500000	0.562110	0.437890	140031	109632	109313	141024	0	0	500000
Chr1	106500000	107000000	0.549340	0.449660	136974	113378	111452	137696	500	0	500000
Chr1	107000000	107500000	0.553706	0.446294	138139	111736	111411	138714	0	0	500000
Chr1	107500000	108000000	0.551394	0.446606	137071	111444	111859	138626	1000	0	500000
Chr1	108000000	108500000	0.551566	0.448434	141956	113866	110351	133827	0	0	500000
Chr1	108500000	109000000	0.557338	0.442662	141819	110266	111065	136850	0	0	500000
Chr1	109000000	109500000	0.556794	0.443206	137117	111543	110060	141280	0	0	500000
Chr1	109500000	110000000	0.557914	0.442086	141272	108249	112794	137685	0	0	500000
Chr1	110000000	110500000	0.565594	0.434406	141900	108618	108585	140897	0	0	500000
Chr1	110500000	111000000	0.538474	0.461526	135920	112921	117842	133317	0	0	500000
Chr1	111000000	111500000	0.550022	0.449978	136882	113646	111343	138129	0	0	500000
Chr1	111500000	112000000	0.544158	0.452842	138622	114156	112265	133457	1500	0	500000
Chr1	112000000	112500000	0.563220	0.436780	141824	109255	109135	139786	0	0	500000
Chr1	112500000	113000000	0.557618	0.442382	138323	109057	112134	140486	0	0	500000
Chr1	113000000	113500000	0.552392	0.446608	140109	111204	112100	136087	500	0	500000
Chr1	113500000	114000000	0.565542	0.433458	139182	107914	108815	143589	500	0	500000
Chr1	114000000	114500000	0.554610	0.444390	137790	111180	111015	139515	500	0	500000
Chr1	114500000	115000000	0.559302	0.440698	140104	111336	109013	139547	0	0	500000
Chr1	115000000	115500000	0.563558	0.435442	141508	108961	108760	140271	500	0	500000
Chr1	115500000	116000000	0.568866	0.431134	143547	107125	108442	140886	0	0	500000
Chr1	116000000	116500000	0.560566	0.439434	138520	109166	110551	141763	0	0	500000
Chr1	116500000	117000000	0.554084	0.444916	138311	111346	111112	138731	500	0	500000
Chr1	117000000	117500000	0.557128	0.441872	138371	111367	109569	140193	500	0	500000
Chr1	117500000	118000000	0.557920	0.442080	139243	109621	111419	139717	0	0	500000
Chr1	118000000	118500000	0.559298	0.440702	139603	110287	110064	140046	0	0	500000
Chr1	118500000	119000000	0.549998	0.450002	136301	109980	115021	138698	0	0	500000
Chr1	119000000	119500000	0.571342	0.428658	142980	108035	106294	142691	0	0	500000
Chr1	119500000	120000000	0.562622	0.437378	140887	108895	109794	140424	0	0	500000
Chr1	120000000	120500000	0.555610	0.444390	137552	111263	110932	140253	0	0	500000
Chr1	120500000	121000000	0.562746	0.437254	140491	110131	108496	140882	0	0	500000
Chr1	121000000	121500000	0.566476	0.432524	141998	108288	107974	141240	500	0	500000
Chr1	121500000	122000000	0.555234	0.444766	140038	110488	111895	137579	0	0	500000
Chr1	122000000	122500000	0.558982	0.440018	140438	110022	109987	139053	500	0	500000
Chr1	122500000	123000000	0.563298	0.435702	141132	108314	109537	140517	500	0	500000
Chr1	123000000	123500000	0.564542	0.435458	139328	109299	108430	142943	0	0	500000
Chr1	123500000	124000000	0.571454	0.428546	140300	107523	106750	145427	0	0	500000
Chr1	124000000	124500000	0.555146	0.444854	136103	111611	110816	141470	0	0	500000
Chr1	124500000	125000000	0.568314	0.431686	139495	106860	108983	144662	0	0	500000
Chr1	125000000	125500000	0.558008	0.439992	139023	110540	109456	139981	1000	0	500000
Chr1	125500000	126000000	0.562386	0.437614	140618	111982	106825	140575	0	0	500000
Chr1	126000000	126500000	0.568816	0.431184	144803	107740	107852	139605	0	0	500000
Chr1	126500000	127000000	0.566142	0.432858	143584	109940	106489	139487	500	0	500000
Chr1	127000000	127500000	0.566984	0.432016	140644	106289	109719	142848	500	0	500000
Chr1	127500000	128000000	0.567228	0.432772	141141	107883	108503	142473	0	0	500000
Chr1	128000000	128500000	0.564586	0.435414	141597	108535	109172	140696	0	0	500000
Chr1	128500000	129000000	0.564616	0.435384	144098	109493	108199	138210	0	0	500000
Chr1	129000000	129500000	0.566134	0.433866	140229	108278	108655	142838	0	0	500000
Chr1	129500000	130000000	0.558426	0.441574	140770	109548	111239	138443	0	0	500000
Chr1	130000000	130500000	0.560842	0.439158	142211	109491	110088	138210	0	0	500000
Chr1	130500000	131000000	0.573706	0.426294	141917	107117	106030	144936	0	0	500000
Chr1	131000000	131500000	0.547560	0.452440	137299	113092	113128	136481	0	0	500000
Chr1	131500000	132000000	0.551496	0.447504	137293	112053	111699	138455	500	0	500000
Chr1	132000000	132500000	0.561622	0.438378	141722	112043	107146	139089	0	0	500000
Chr1	132500000	133000000	0.568074	0.431926	141493	109032	106931	142544	0	0	500000
Chr1	133000000	133500000	0.556980	0.443020	141419	112384	109126	137071	0	0	500000
Chr1	133500000	134000000	0.561060	0.438940	141544	108500	110970	138986	0	0	500000
Chr1	134000000	134500000	0.557716	0.442284	139070	111222	109920	139788	0	0	500000
Chr1	134500000	135000000	0.571270	0.427730	145469	108069	105796	140166	500	0	500000
Chr1	135000000	135500000	0.560366	0.438634	136846	108834	110483	143337	500	0	500000
Chr1	135500000	136000000	0.564472	0.434528	139289	109602	107662	142947	500	0	500000
Chr1	136000000	136500000	0.569452	0.430548	144753	104550	110724	139973	0	0	500000
Chr1	136500000	137000000	0.563660	0.436340	140651	108953	109217	141179	0	0	500000
Chr1	137000000	137500000	0.558518	0.440482	136937	110935	109306	142322	500	0	500000
Chr1	137500000	138000000	0.557492	0.442508	140451	111732	109522	138295	0	0	500000
Chr1	138000000	138500000	0.553360	0.445640	137463	110733	112087	139217	500	0	500000
Chr1	138500000	139000000	0.577740	0.422260	141322	102199	108931	147548	0	0	500000
Chr1	139000000	139500000	0.570062	0.429938	141479	106689	108280	143552	0	0	500000
Chr1	139500000	140000000	0.568188	0.431812	143200	108003	107903	140894	0	0	500000
Chr1	140000000	140500000	0.560600	0.439400	138018	110221	109479	142282	0	0	500000
Chr1	140500000	141000000	0.562552	0.435448	139095	108142	109582	142181	1000	0	500000
Chr1	141000000	141500000	0.562702	0.436298	138326	109201	108948	143025	500	0	500000
Chr1	141500000	142000000	0.568068	0.431932	139267	106945	109021	144767	0	0	500000
Chr1	142000000	142500000	0.563964	0.436036	139481	107964	110054	142501	0	0	500000
Chr1	142500000	143000000	0.549408	0.449592	136704	110826	113970	138000	500	0	500000
Chr1	143000000	143500000	0.562690	0.437310	137840	106812	111843	143505	0	0	500000
Chr1	143500000	144000000	0.555810	0.444190	137984	109985	112110	139921	0	0	500000
Chr1	144000000	144500000	0.566126	0.433874	139129	108039	108898	143934	0	0	500000
Chr1	144500000	145000000	0.571000	0.429000	144089	107948	106552	141411	0	0	500000
Chr1	145000000	145500000	0.559652	0.440348	141165	110755	109419	138661	0	0	500000
Chr1	145500000	146000000	0.551226	0.447774	136688	112293	111594	138925	500	0	500000
Chr1	146000000	146500000	0.553764	0.444236	139378	112180	109938	137504	1000	0	500000
Chr1	146500000	147000000	0.558530	0.441470	137557	110025	110710	141708	0	0	500000
Chr1	147000000	147500000	0.563202	0.436798	139915	110333	108066	141686	0	0	500000
Chr1	147500000	148000000	0.564014	0.433986	141013	108846	108147	140994	1000	0	500000
Chr1	148000000	148500000	0.578564	0.421436	141078	103594	107124	148204	0	0	500000
Chr1	148500000	149000000	0.569838	0.429162	138013	108084	106497	146906	500	0	500000
Chr1	149000000	149500000	0.570368	0.427632	139446	106800	107016	145738	1000	0	500000
Chr1	149500000	150000000	0.557896	0.442104	139013	108763	112289	139935	0	0	500000
Chr1	150000000	150500000	0.560936	0.439064	138871	109192	110340	141597	0	0	500000
Chr1	150500000	151000000	0.561136	0.437864	139665	108968	109964	140903	500	0	500000
Chr1	151000000	151500000	0.567608	0.431392	143588	108810	106886	140216	500	0	500000
Chr1	151500000	152000000	0.559216	0.440784	142014	112425	107967	137594	0	0	500000
Chr1	152000000	152500000	0.574742	0.425258	144490	106720	105909	142881	0	0	500000
Chr1	152500000	153000000	0.577870	0.422130	141160	104296	106769	147775	0	0	500000
Chr1	153000000	153500000	0.557342	0.441658	137369	109587	111242	141302	500	0	500000
Chr1	153500000	154000000	0.560556	0.438444	139673	109893	109329	140605	500	0	500000
Chr1	154000000	154500000	0.559426	0.439574	140981	110314	109473	138732	500	0	500000
Chr1	154500000	155000000	0.566366	0.433634	142165	110503	106314	141018	0	0	500000
Chr1	155000000	155500000	0.551714	0.447286	141451	113242	110401	134406	500	0	500000
Chr1	155500000	156000000	0.564068	0.435932	143063	110256	107710	138971	0	0	500000
Chr1	156000000	156500000	0.562836	0.437164	138344	109199	109383	143074	0	0	500000
Chr1	156500000	157000000	0.568920	0.431080	139942	106215	109325	144518	0	0	500000
Chr1	157000000	157500000	0.558868	0.441132	140018	111133	109433	139416	0	0	500000
Chr1	157500000	158000000	0.556804	0.441196	137019	111396	109202	141383	1000	0	500000
Chr1	158000000	158500000	0.558050	0.441950	141193	111584	109391	137832	0	0	500000
Chr1	158500000	159000000	0.563280	0.435720	142846	108416	109444	138794	500	0	500000
Chr1	159000000	159500000	0.554858	0.445142	138946	112017	110554	138483	0	0	500000
Chr1	159500000	160000000	0.552260	0.446740	136819	111814	111556	139311	500	0	500000
Chr1	160000000	160500000	0.557784	0.442216	139306	109844	111264	139586	0	0	500000
Chr1	160500000	161000000	0.554074	0.445926	138403	111480	111483	138634	0	0	500000
Chr1	161000000	161500000	0.559432	0.440568	138381	110372	109912	141335	0	0	500000
Chr1	161500000	162000000	0.558300	0.441700	141431	110317	110533	137719	0	0	500000
Chr1	162000000	162500000	0.564064	0.435936	142989	109834	108134	139043	0	0	500000
Chr1	162500000	163000000	0.559224	0.439776	140402	109345	110543	139210	500	0	500000
Chr1	163000000	163500000	0.558624	0.440376	139171	109453	110735	140141	500	0	500000
Chr1	163500000	164000000	0.562300	0.437700	141777	111379	107471	139373	0	0	500000
Chr1	164000000	164500000	0.563300	0.435700	143008	109581	108269	138642	500	0	500000
